textbox2,PIVOT_YEAR,M01,Textbox95,Textbox75,Textbox76,Textbox77,Textbox78,Textbox79,Textbox80,Textbox81,Textbox82,Textbox83,Textbox84,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,Textbox91,Textbox92,Textbox93,Textbox94,Textbox96,Textbox97,Textbox98,Textbox99,Textbox100,Textbox101,Textbox102,Textbox105,Textbox106
時間(月),69/1,影片服務、聲音錄製及音樂出版業,6480,2970,3510,10450,10672,10261,9557,9937,9235,893,735,1026,-,-,-,199.4,194.6,203.5,194.4,188.7,199.3,5.0,5.9,4.2,6.49,2.11,-,-,-,-
時間(月),69/1,傳播及節目播送業,7396,3876,3520,10888,11248,10492,10546,10713,10362,342,535,130,-,-,-,173.6,171.5,175.8,170.5,168.0,173.2,3.1,3.5,2.6,15.27,0.71,-,-,-,-
時間(月),69/2,影片服務、聲音錄製及音樂出版業,6374,2953,3421,12492,13499,11623,9958,10694,9322,2534,2805,2301,-,-,-,185.5,181.8,188.7,180.5,175.8,184.6,5.0,6.0,4.1,0.91,2.55,-,-,-,-
時間(月),69/2,傳播及節目播送業,7306,3883,3423,14143,14896,13288,11367,11767,10913,2776,3129,2375,-,-,-,157.2,157.6,156.7,154.1,154.1,154.1,3.1,3.5,2.6,0.97,2.19,-,-,-,-
時間(月),69/3,影片服務、聲音錄製及音樂出版業,6438,2923,3515,10573,10632,10523,9826,10257,9466,747,375,1057,-,-,-,198.9,194.1,202.9,194.0,187.8,199.1,4.9,6.3,3.8,1.73,0.72,-,-,-,-
時間(月),69/3,傳播及節目播送業,7263,3775,3488,11213,11459,10947,10907,11155,10639,306,304,308,-,-,-,171.0,168.9,173.2,167.9,165.4,170.6,3.1,3.5,2.6,0.70,1.29,-,-,-,-
時間(月),69/4,影片服務、聲音錄製及音樂出版業,6422,2912,3510,10598,10535,10651,9972,10197,9786,626,338,865,-,-,-,197.1,191.9,201.4,191.5,184.3,197.4,5.6,7.6,4.0,0.57,0.82,-,-,-,-
時間(月),69/4,傳播及節目播送業,7237,3749,3488,11085,11331,10821,10921,11116,10712,164,215,109,-,-,-,170.4,167.9,173.2,166.5,163.6,169.7,3.9,4.3,3.5,0.07,0.43,-,-,-,-
時間(月),69/5,影片服務、聲音錄製及音樂出版業,6689,2996,3693,10419,10591,10280,9933,10235,9688,486,356,592,-,-,-,193.1,189.7,195.8,188.4,183.5,192.4,4.7,6.2,3.4,5.71,1.56,-,-,-,-
時間(月),69/5,傳播及節目播送業,7169,3704,3465,11173,11396,10935,10989,11177,10788,184,219,147,-,-,-,175.7,172.3,179.2,172.6,168.8,176.6,3.1,3.5,2.6,1.89,2.83,-,-,-,-
時間(月),69/6,影片服務、聲音錄製及音樂出版業,6468,2897,3571,10176,10633,9806,9836,10264,9489,340,369,317,-,-,-,192.3,189.8,194.4,187.6,183.5,191.0,4.7,6.3,3.4,0.60,3.90,-,-,-,-
時間(月),69/6,傳播及節目播送業,7133,3655,3478,11034,11319,10734,10792,11102,10466,242,217,268,-,-,-,169.3,166.3,172.3,166.2,162.8,169.7,3.1,3.5,2.6,0.18,0.68,-,-,-,-
時間(月),69/7,影片服務、聲音錄製及音樂出版業,6581,2942,3639,10763,11143,10455,10397,10637,10202,366,506,253,-,-,-,202.8,198.3,206.3,197.6,191.1,202.8,5.2,7.2,3.5,1.75,-,-,-,-,-
時間(月),69/7,傳播及節目播送業,7189,3665,3524,11837,11881,11791,11654,11605,11705,183,276,86,-,-,-,174.8,171.5,178.3,172.2,168.0,176.6,2.6,3.5,1.7,0.79,-,-,-,-,-
時間(月),69/8,影片服務、聲音錄製及音樂出版業,6637,2937,3700,10888,11194,10644,10610,10837,10428,278,357,216,-,-,-,200.0,194.2,204.6,195.8,188.7,201.4,4.2,5.5,3.2,1.75,0.90,-,-,-,-
時間(月),69/8,傳播及節目播送業,7211,3648,3563,11948,12061,11832,11811,11861,11759,137,200,73,-,-,-,173.2,169.7,176.6,171.0,167.1,174.9,2.2,2.6,1.7,2.16,1.85,-,-,-,-
